rank,title,year,normalizedTitle
1,The Shawshank Redemption,1994,theshawshankredemption
2,The Godfather,1972,thegodfather
3,The Dark Knight,2008,thedarkknight
4,The Godfather Part II,1974,thegodfatherpartii
5,12 Angry Men,1957,12angrymen
6,The Lord of the Rings: The Return of the King,2003,thelordoftheringsthereturnoftheking
7,Schindler's List,1993,schindlerslist
8,The Lord of the Rings: The Fellowship of the Ring,2001,thelordoftheringsthefellowshipofthering
9,Pulp Fiction,1994,pulpfiction
10,"The Good, the Bad and the Ugly",1966,thegoodthebadandtheugly
11,The Lord of the Rings: The Two Towers,2002,thelordoftheringsthetwotowers
12,Forrest Gump,1994,forrestgump
13,Fight Club,1999,fightclub
14,Inception,2010,inception
15,Star Wars: Episode V - The Empire Strikes Back,1980,starwarsepisodevtheempirestrikesback
16,The Matrix,1999,thematrix
17,GoodFellas,1990,goodfellas
18,Interstellar,2014,interstellar
19,One Flew Over the Cuckoo's Nest,1975,oneflewoverthecuckoosnest
20,Seven,1995,seven
21,It's a Wonderful Life,1946,itsawonderfullife
22,The Silence of the Lambs,1991,thesilenceofthelambs
23,Seven Samurai,1954,sevensamurai
24,Saving Private Ryan,1998,savingprivateryan
25,The Green Mile,1999,thegreenmile
26,City of God,2002,cityofgod
27,Life Is Beautiful,1997,lifeisbeautiful
28,Terminator 2: Judgment Day,1991,terminator2judgmentday
29,Star Wars: Episode IV - A New Hope,1977,starwarsepisodeivanewhope
30,Back to the Future,1985,backtothefuture
31,Spirited Away,2001,spiritedaway
32,The Pianist,2002,thepianist
33,Gladiator,2000,gladiator
34,Parasite,2019,parasite
35,Grave of the Fireflies,1988,graveofthefireflies
36,Psycho,1960,psycho
37,The Lion King,1994,thelionking
38,Harakiri,1962,harakiri
39,The Departed,2006,thedeparted
40,Whiplash,2014,whiplash
41,Kill Bill: The Whole Bloody Affair,2004,killbillthewholebloodyaffair
42,The Prestige,2006,theprestige
43,American History X,1998,americanhistoryx
44,Léon: The Professional,1994,leontheprofessional
45,Spider-Man: Across the Spider-Verse,2023,spidermanacrossthespiderverse
