index,movieTitle,slug,releaseYear
1,The Lost Boys,the-lost-boys-1987,1987
2,Lights Out,lights-out-2016,2016
3,Angst,angst-1983,1983
4,Deep Red,deep-red-1975,1975
5,Häxan,haxan-1922,1922
6,Creep,creep-2014,2014
7,Mute Witness,mute-witness-1995,1995
8,The Tenant,the-tenant-1976,1976
9,Trick 'r Treat,trick-r-treat-2007,2007
10,The Brood,the-brood-1979,1979
11,The Cat o' Nine Tails,the-cat-o-nine-tails-1971,1971
12,Ju-on: The Grudge,ju-on-the-grudge-2002,2002
13,Blood and Black Lace,blood-and-black-lace-1964,1964
14,Night of the Comet,night-of-the-comet-1984,1984
15,Planet Terror,planet-terror-2007,2007
16,Basket Case,basket-case-1982,1982
17,The Howling,the-howling-1981,1981
18,Eden Lake,eden-lake-2008,2008
19,Phenomena,phenomena-1985,1985
20,The Mist,the-mist-2007,2007
21,Christine,christine-1983,1983
22,Project Hail Mary,project-hail-mary,2026
23,Capernaum,capernaum,2018
24,Singin' in the Rain,singin-in-the-rain,1952
25,Joker,joker,2019
26,Once Upon a Time in America,once-upon-a-time-in-america,1984
27,Come and See,come-and-see,1985
28,Star Wars: Episode VI - Return of the Jedi,star-wars-episode-vi-return-of-the-jedi,1983
29,Requiem for a Dream,requiem-for-a-dream,2000
30,Toy Story 3,toy-story-3,2010
31,Ikiru,ikiru,1952
32,The Hunt,the-hunt,2012
33,Incendies,incendies,2010
34,Eternal Sunshine of the Spotless Mind,eternal-sunshine-of-the-spotless-mind,2004
35,The Apartment,the-apartment,1960
36,Lawrence of Arabia,lawrence-of-arabia,1962
37,Heat,heat,1995
38,2001: A Space Odyssey,2001-a-space-odyssey,1968
39,Reservoir Dogs,reservoir-dogs,1992
40,Scarface,scarface,1983
41,Double Indemnity,double-indemnity,1944
42,Up,up,2009
43,North by Northwest,north-by-northwest,1959
44,Like Stars on Earth,like-stars-on-earth,2007
45,Full Metal Jacket,full-metal-jacket,1987
46,M,m,1931
47,Amélie,am-lie,2001
48,Citizen Kane,citizen-kane,1941
49,Vertigo,vertigo,1958
50,A Separation,a-separation,2011
51,Die Hard,die-hard,1988
52,To Kill a Mockingbird,to-kill-a-mockingbird,1962
53,Indiana Jones and the Last Crusade,indiana-jones-and-the-last-crusade,1989
54,The Sting,the-sting,1973
55,A Clockwork Orange,a-clockwork-orange,1971
56,Metropolis,metropolis,1927
57,1917,1917,2019
58,Snatch,snatch,2000
