title,slug
12 Years a Slave,12-years-a-slave
2001: A Space Odyssey,2001-a-space-odyssey
A Beautiful Mind,a-beautiful-mind
A Clockwork Orange,a-clockwork-orange
A Separation,a-separation
A Silent Voice: The Movie,a-silent-voice-the-movie
All About Eve,all-about-eve
Amélie,am-lie
Avengers: Infinity War,avengers-infinity-war
Barry Lyndon,barry-lyndon
Batman Begins,batman-begins
Before Sunrise,before-sunrise
Before Sunset,before-sunset
Ben-Hur,ben-hur
Bicycle Thieves,bicycle-thieves
Blade Runner,blade-runner
Capernaum,capernaum
Casino,casino
Catch Me If You Can,catch-me-if-you-can
Chainsaw Man - The Movie: Reze Arc,chainsaw-man-the-movie-reze-arc
Children of Heaven,children-of-heaven
Chinatown,chinatown
Cinema Paradiso,cinema-paradiso
Citizen Kane,citizen-kane
Come and See,come-and-see
Dangal,dangal
Das Boot,das-boot
Dead Poets Society,dead-poets-society
Demon Slayer: Kimetsu No Yaiba Infinity Castle,demon-slayer-kimetsu-no-yaiba-infinity-castle
Dial M for Murder,dial-m-for-murder
Die Hard,die-hard
Double Indemnity,double-indemnity
Downfall,downfall
Drishyam,drishyam
Eternal Sunshine of the Spotless Mind,eternal-sunshine-of-the-spotless-mind
Fargo,fargo
Finding Nemo,finding-nemo
For a Few Dollars More,for-a-few-dollars-more
Ford v Ferrari,ford-v-ferrari
Full Metal Jacket,full-metal-jacket
Gangs of Wasseypur,gangs-of-wasseypur
Gone Girl,gone-girl
Gone with the Wind,gone-with-the-wind
Gran Torino,gran-torino
Green Book,green-book
Hachi: A Dog's Tale,hachi-a-dog-s-tale
Hacksaw Ridge,hacksaw-ridge
Hamilton,hamilton
Harry Potter and the Deathly Hallows: Part 2,harry-potter-and-the-deathly-hallows-part-2
Heat,heat
High and Low,high-and-low
Hotel Rwanda,hotel-rwanda
How to Train Your Dragon,how-to-train-your-dragon
Howl's Moving Castle,howl-s-moving-castle
I Swear,i-swear
Ikiru,ikiru
In the Name of the Father,in-the-name-of-the-father
Incendies,incendies
Indiana Jones and the Last Crusade,indiana-jones-and-the-last-crusade
Inglourious Basterds,inglourious-basterds
Inside Out,inside-out
Jai Bhim,jai-bhim
Jaws,jaws
Judgment at Nuremberg,judgment-at-nuremberg
Kill Bill: The Whole Bloody Affair,kill-bill-the-whole-bloody-affair
Kill Bill: Vol. 1,kill-bill-vol-1
Klaus,klaus
L.A. Confidential,l-a-confidential
La haine,la-haine
Lawrence of Arabia,lawrence-of-arabia
Like Stars on Earth,like-stars-on-earth
"Lock, Stock and Two Smoking Barrels",lock-stock-and-two-smoking-barrels
Logan,logan
M,m
Mad Max: Fury Road,mad-max-fury-road
Maharaja,maharaja
Mary and Max,mary-and-max
Memories of Murder,memories-of-murder
Metropolis,metropolis
Million Dollar Baby,million-dollar-baby
"Monsters, Inc.",monsters-inc
Monty Python and the Holy Grail,monty-python-and-the-holy-grail
Mr. Smith Goes to Washington,mr-smith-goes-to-washington
My Father and My Son,my-father-and-my-son
My Neighbor Totoro,my-neighbor-totoro
Network,network
No Country for Old Men,no-country-for-old-men
North by Northwest,north-by-northwest
On the Waterfront,on-the-waterfront
Once Upon a Time in the West,once-upon-a-time-in-the-west
Oppenheimer,oppenheimer
Pan's Labyrinth,pan-s-labyrinth
Pirates of the Caribbean: The Curse of the Black Pearl,pirates-of-the-caribbean-the-curse-of-the-black-pearl
Platoon,platoon
Prisoners,prisoners
Raging Bull,raging-bull
Ran,ran
Rashomon,rashomon
Ratatouille,ratatouille
Requiem for a Dream,requiem-for-a-dream
Rocky,rocky
Room,room
Rush,rush
Scarface,scarface
Sherlock Jr.,sherlock-jr
Shutter Island,shutter-island
Snatch,snatch
Some Like It Hot,some-like-it-hot
Spider-Man: Across the Spider-Verse,spider-man-across-the-spider-verse
Spider-Man: No Way Home,spider-man-no-way-home
Spotlight,spotlight
Stand by Me,stand-by-me
Taxi Driver,taxi-driver
The Apartment,the-apartment
The Battle of Algiers,the-battle-of-algiers
The Best Years of Our Lives,the-best-years-of-our-lives
The Best of Youth,the-best-of-youth
The Big Lebowski,the-big-lebowski
The Bridge on the River Kwai,the-bridge-on-the-river-kwai
The Chaos Class Failed the Class,the-chaos-class-failed-the-class
The Dark Knight Rises,the-dark-knight-rises
The Deer Hunter,the-deer-hunter
The Elephant Man,the-elephant-man
The Exorcist,the-exorcist
The Father,the-father
The General,the-general
The Gold Rush,the-gold-rush
The Grand Budapest Hotel,the-grand-budapest-hotel
The Grapes of Wrath,the-grapes-of-wrath
The Great Escape,the-great-escape
The Handmaiden,the-handmaiden
The Hunt,the-hunt
The Incredibles,the-incredibles
The Intouchables,the-intouchables
The Iron Giant,the-iron-giant
The Kid,the-kid
The Passion of Joan of Arc,the-passion-of-joan-of-arc
The Secret in Their Eyes,the-secret-in-their-eyes
The Seventh Seal,the-seventh-seal
The Sixth Sense,the-sixth-sense
The Sound of Music,the-sound-of-music
The Sting,the-sting
The Terminator,the-terminator
The Thing,the-thing
The Third Man,the-third-man
The Treasure of the Sierra Madre,the-treasure-of-the-sierra-madre
The Truman Show,the-truman-show
The Usual Suspects,the-usual-suspects
The Wages of Fear,the-wages-of-fear
The Wild Robot,the-wild-robot
The Wizard of Oz,the-wizard-of-oz
The Wolf of Wall Street,the-wolf-of-wall-street
There Will Be Blood,there-will-be-blood
"Three Billboards Outside Ebbing, Missouri",three-billboards-outside-ebbing-missouri
To Kill a Mockingbird,to-kill-a-mockingbird
Tokyo Story,tokyo-story
Top Gun: Maverick,top-gun-maverick
Toy Story 3,toy-story-3
Trainspotting,trainspotting
Unforgiven,unforgiven
Up,up
V for Vendetta,v-for-vendetta
Vertigo,vertigo
Warrior,warrior
Wild Strawberries,wild-strawberries
Wild Tales,wild-tales
Yojimbo,yojimbo
Your Name.,your-name
